name	H3K27ac	H3K27me3	ENSID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PDCD6	-0.0786988696490257	-0.09147390724752778	ENSG00000249915	2053.08914908115	2.5649034014169e-5	0.303735169069087	8.44453873839513e-5	0.999932622329255	0.999932622329255
FTO	0.16042388586536474	-0.10261061763921069	ENSG00000140718	4254.01592972657	8.17550506099996e-5	0.333378998055471	2.45231556537332e-4	0.999804333529178	0.999932622329255
FUZ	0.8251499277016487	-0.04855258791431482	ENSG00000010361	783.229021815696	1.14878362359598e-4	0.351477200946687	3.26844421345621e-4	0.999739215887067	0.999932622329255
B4GALT5	0.1964519168467571	-0.05629398336436125	ENSG00000158470	4556.49878149279	-1.4549692347908e-4	0.258246433737476	-5.63403418097098e-4	0.999550469134979	0.999922278762311
DMRTA1	-0.4165504486380236	0.2623304278072617	ENSG00000176399	151.863764963929	1.5848167794486e-4	0.584325542409366	2.71221547651996e-4	0.999783596517225	0.999932622329255
ZNF663P	-0.11117845777947107	-0.10881950957100299	ENSG00000215452	442.423063234244	1.92593207783911e-4	0.349818638342993	5.50551590664748e-4	0.999560723408074	0.999922278762311
LINC00960	0	-0.04998175376975966	ENSG00000242516	121.591990210531	2.06271139310286e-4	0.567701108590456	3.63344612488843e-4	0.999710092949823	0.999932622329255
LINC00960	-0.0838546731624548	-0.15155726724939153	ENSG00000242516	121.591990210531	2.06271139310286e-4	0.567701108590456	3.63344612488843e-4	0.999710092949823	0.999932622329255
NUP98	0.30583544519531825	-0.06709892150962427	ENSG00000110713	4712.31189006268	-2.49499363163171e-4	0.245903335316148	-0.00101462374571862	0.999190447517168	0.999850070769713
ASTE1	-0.11005191121615622	-0.07837878805245166	ENSG00000034533	671.984449056931	2.55530803783953e-4	0.251149741725112	0.00101744402374754	0.999188197262033	0.999850070769713
PTPRU	0.10482858300429097	0.9101866443506745	ENSG00000060656	1355.60258367634	2.79483166731029e-4	0.407378532709142	6.86052760002878e-4	0.999452609137837	0.999922278762311
MTX2	-0.24395664518746338	0.0654275308158522	ENSG00000128654	943.429015223135	3.03274382933558e-4	0.269804864900196	0.00112405083224034	0.999103137384261	0.999850070769713
SERF1A	0	0	ENSG00000172058	729.113488489736	-3.26726085346099e-4	0.448672831013102	-7.28205638412187e-4	0.999418976015373	0.999922278762311
GATAD1	0.27443866660719424	0.07244815112125258	ENSG00000157259	1894.24085652881	4.84345816229518e-4	0.2779137469352	0.00174279186103899	0.998609453985307	0.99974634532845
ZNF232	-0.11221965932932076	-0.037550043596193405	ENSG00000167840	576.237213272043	5.10851160095774e-4	0.364491962849801	0.00140154300276378	0.9988817308429	0.999850070769713
BNIP2	-0.06441812633619777	0.05961854887733365	ENSG00000140299	3639.03757102509	5.40342389168784e-4	0.37141598313774	0.00145481727685477	0.998839224165471	0.999850070769713
CCDC51	-0.5668157832391602	-0.08482445670579532	ENSG00000164051	905.581159774327	-5.61976356025708e-4	0.336532440240351	-0.00166990247841886	0.998667611213667	0.999774615666015
POLR2E	-0.3811994967682728	-0.07565474373643623	ENSG00000099817	1728.64903474263	5.75452355723359e-4	0.368760752352445	0.00156050325869106	0.998754899048147	0.999817248617613
