id	Norm_expression	gene_symbol	Group	Hox_cluster
ENST00000392539:HOXD13	0	HOXD13	PFA-EZHIP-PF	HOXD
ENST00000406506:HOXD12	0	HOXD12	PFA-EZHIP-PF	HOXD
ENST00000249504:HOXD11	0	HOXD11	PFA-EZHIP-PF	HOXD
ENST00000249501:HOXD10	0	HOXD10	PFA-EZHIP-PF	HOXD
ENST00000249499:HOXD9	6.000621673378651	HOXD9	PFA-EZHIP-PF	HOXD
ENST00000313173:HOXD8	12.001243346757303	HOXD8	PFA-EZHIP-PF	HOXD
ENST00000468418:HOXD3	0	HOXD3	PFA-EZHIP-PF	HOXD
ENST00000306324:HOXD4	0	HOXD4	PFA-EZHIP-PF	HOXD
ENST00000331462:HOXD1	0	HOXD1	PFA-EZHIP-PF	HOXD
ENST00000343060:HOXA1	60.006216733786516	HOXA1	PFA-EZHIP-PF	HOXA
ENST00000222718:HOXA2	450.04662550339884	HOXA2	PFA-EZHIP-PF	HOXA
ENST00000396352:HOXA3	450.04662550339884	HOXA3	PFA-EZHIP-PF	HOXA
ENST00000360046:HOXA4	399.0413412796803	HOXA4	PFA-EZHIP-PF	HOXA
ENST00000222726:HOXA5	178.5184947830149	HOXA5	PFA-EZHIP-PF	HOXA
ENST00000521478:HOXA6	0	HOXA6	PFA-EZHIP-PF	HOXA
ENST00000242159:HOXA7	0	HOXA7	PFA-EZHIP-PF	HOXA
ENST00000343483:HOXA9	0	HOXA9	PFA-EZHIP-PF	HOXA
ENST00000283921:HOXA10	9.000932510067978	HOXA10	PFA-EZHIP-PF	HOXA
ENST00000006015:HOXA11	0	HOXA11	PFA-EZHIP-PF	HOXA
ENST00000222753:HOXA13	0	HOXA13	PFA-EZHIP-PF	HOXA
ENST00000508190:HOXC9	0	HOXC9	PFA-EZHIP-PF	HOXC
ENST00000243056:HOXC13	0	HOXC13	PFA-EZHIP-PF	HOXC
ENST00000243103:HOXC12	0	HOXC12	PFA-EZHIP-PF	HOXC
ENST00000243082:HOXC11	0	HOXC11	PFA-EZHIP-PF	HOXC
ENST00000303460:HOXC10	0	HOXC10	PFA-EZHIP-PF	HOXC
ENST00000040584:HOXC8	3.0003108366893256	HOXC8	PFA-EZHIP-PF	HOXC
ENST00000394331:HOXC6	3.0003108366893256	HOXC6	PFA-EZHIP-PF	HOXC
ENST00000312492:HOXC5	0	HOXC5	PFA-EZHIP-PF	HOXC
ENST00000609810:HOXC4	240.02486693514606	HOXC4	PFA-EZHIP-PF	HOXC
ENST00000239174:HOXB1	0	HOXB1	PFA-EZHIP-PF	HOXB
ENST00000330070:HOXB2	615.0637215213118	HOXB2	PFA-EZHIP-PF	HOXB
ENST00000470495:HOXB3	1312.63599105158	HOXB3	PFA-EZHIP-PF	HOXB
ENST00000332503:HOXB4	807.0836150694286	HOXB4	PFA-EZHIP-PF	HOXB
ENST00000239151:HOXB5	0	HOXB5	PFA-EZHIP-PF	HOXB
ENST00000484302:HOXB6	12.001243346757303	HOXB6	PFA-EZHIP-PF	HOXB
ENST00000239165:HOXB7	12.001243346757303	HOXB7	PFA-EZHIP-PF	HOXB
ENST00000239144:HOXB8	0	HOXB8	PFA-EZHIP-PF	HOXB
ENST00000311177:HOXB9	6.000621673378651	HOXB9	PFA-EZHIP-PF	HOXB
ENST00000290295:HOXB13	0	HOXB13	PFA-EZHIP-PF	HOXB
ENST00000392539:HOXD13	0	HOXD13	PFA-EZHIP-PF	HOXD
ENST00000406506:HOXD12	0	HOXD12	PFA-EZHIP-PF	HOXD
ENST00000249504:HOXD11	0	HOXD11	PFA-EZHIP-PF	HOXD
ENST00000249501:HOXD10	0	HOXD10	PFA-EZHIP-PF	HOXD
ENST00000249499:HOXD9	0	HOXD9	PFA-EZHIP-PF	HOXD
ENST00000313173:HOXD8	8.32433278380996	HOXD8	PFA-EZHIP-PF	HOXD
ENST00000468418:HOXD3	0	HOXD3	PFA-EZHIP-PF	HOXD
ENST00000306324:HOXD4	0	HOXD4	PFA-EZHIP-PF	HOXD
ENST00000331462:HOXD1	0	HOXD1	PFA-EZHIP-PF	HOXD
ENST00000343060:HOXA1	2.7747775946033197	HOXA1	PFA-EZHIP-PF	HOXA
ENST00000222718:HOXA2	5.5495551892066395	HOXA2	PFA-EZHIP-PF	HOXA
ENST00000396352:HOXA3	2.7747775946033197	HOXA3	PFA-EZHIP-PF	HOXA
ENST00000360046:HOXA4	2.7747775946033197	HOXA4	PFA-EZHIP-PF	HOXA
ENST00000222726:HOXA5	4.16216639190498	HOXA5	PFA-EZHIP-PF	HOXA
ENST00000521478:HOXA6	0	HOXA6	PFA-EZHIP-PF	HOXA
ENST00000242159:HOXA7	4.16216639190498	HOXA7	PFA-EZHIP-PF	HOXA
ENST00000343483:HOXA9	2.7747775946033197	HOXA9	PFA-EZHIP-PF	HOXA
ENST00000283921:HOXA10	5.5495551892066395	HOXA10	PFA-EZHIP-PF	HOXA
