TFs	H31_In	H31_Out	H31_Total	H33_In	H33_Out	H33_Total	DeltaIn	DeltaOut	DeltaTotal	rank	H3K27ac	H3K27me3	ENSID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
RXRB	337	219	556	0	0	0	337	219	556	53	0	0	ENSG00000204231	1667.29838978553	0.17021515948987	0.223388180322793	0.761970303191117	0.446077728477447	0.754611865092492
ZNF311	301	207	508	0	0	0	301	207	508	65	0	-0.111689961543464	ENSG00000197935	207.564259863339	-0.415153372425576	0.361039276471938	-1.14988423553924	0.250191554650345	0.593424564502701
ZNF311	301	207	508	0	0	0	301	207	508	65	0	0	ENSG00000197935	207.564259863339	-0.415153372425576	0.361039276471938	-1.14988423553924	0.250191554650345	0.593424564502701
MEF2A	456	337	793	356	294	650	100	43	143	163	-4.21394667199894e-4	0.23701387899042	ENSG00000068305	3967.68565375592	0.0332836963796037	0.219931780513569	0.151336456704356	0.879710312161153	0.960623107317408
ZIC1	0	0	0	380	287	667	-380	-287	-667	289	-5.91298823160144e-4	2.16274169857884	ENSG00000152977	946.191119986755	-1.14892295438158	0.662663942551504	-1.73379428184639	0.0829545906073275	0.371392931987368
RARB	399	209	608	0	0	0	399	209	608	32	-6.04424812358795e-4	-0.227637577320415	ENSG00000077092	347.829641954605	-1.26076003338718	0.300021557414562	-4.20223148047022	2.64296665280457e-5	0.00486013746749151
ZNF83	122	371	493	0	0	0	122	371	493	71	6.90762334121238e-4	0.0855215092454665	ENSG00000167766	3188.95558135468	0.0682953236456205	0.298290618843501	0.228955653752731	0.818903383779327	0.93926460899288
BCL6B	0	0	0	201	303	504	-201	-303	-504	282	0.00132625761061063	0.00498836953837773	ENSG00000161940	503.026629910179	0.888105897851847	0.607479663133232	1.4619516532804	0.143754458849605	0.472185488177714
CEBPB	375	194	569	0	0	0	375	194	569	48	0.00148674489854728	0.202822678561727	ENSG00000172216	1178.07548451387	1.32177046946616	0.408967271510519	3.23197126406767	0.00122939418523346	0.054114656085236
EGR3	399	235	634	371	179	550	28	56	84	225	-0.00152978768788131	-1.06405556002962	ENSG00000179388	278.813937653179	-0.0475971416254022	0.569570629154141	-0.0835667065489101	0.933400938638739	0.979030635280144
RARA	416	373	789	301	304	605	115	69	184	124	0.00338989146513748	-0.0198302146952447	ENSG00000131759	1594.84603837768	-0.45038308815416	0.422132907493352	-1.06692247905656	0.286006843137302	0.627293979433409
PAX6	252	251	503	0	0	0	252	251	503	67	-0.00359816663593923	0.0531596060990236	ENSG00000007372	1596.82680639329	-0.434462894477977	0.329706027684529	-1.31772809107901	0.187594687367095	0.527132924394316
RORA	451	269	720	422	184	606	29	85	114	192	0.0044516580500828	0.0577685703830555	ENSG00000069667	6215.74018582348	0.230982265623688	0.357947804895305	0.645295941097466	0.51873542253732	0.797692142077902
ATF4	352	219	571	0	0	0	352	219	571	44	-0.00598578190196846	0.230345418629525	ENSG00000128272	7490.04461712331	0.259459295940184	0.309170994893159	0.839209693748425	0.401351648522426	0.722342000088861
ZBTB38	449	205	654	375	135	510	74	70	144	162	-0.00963068793849896	-0.0175128065411825	ENSG00000177311	5537.20638202498	0.410217159454738	0.314044145090426	1.30624043105984	0.191470807471551	0.531189339546491
SALL2	224	352	576	232	309	541	-8	43	35	254	-0.0105199764800511	1.1722005969903	ENSG00000165821	3066.76287014194	-0.120592078045568	0.390196129048858	-0.30905503429653	0.757279663242228	0.915630860252677
CEBPA	139	267	406	0	0	0	139	267	406	91	0.0116041361728405	0.649796612395259	ENSG00000245848	766.729558316234	0.00565718477073934	0.442029034592055	0.0127982198634538	0.989788776722869	0.996615669576595
STAT3	376	468	844	217	424	641	159	44	203	117	0.0118771988202476	0.0937423687225749	ENSG00000168610	11922.5698126555	0.0602773444649021	0.276280653677539	0.218174322604777	0.827293290774532	0.941736679399731
HOXB3	366	237	603	0	0	0	366	237	603	35	0.0129652017923178	1.11991724839467	ENSG00000120093	276.268738808561	1.81489804707097	0.484468531390253	3.74616291766743	1.79560002240228e-4	0.0178736379437929
KLF3	443	266	709	0	0	0	443	266	709	9	-0.0134174996623068	0.292242860554868	ENSG00000109787	3440.1254057621	-0.11389079522419	0.309912043407357	-0.367493931413593	0.71325061769636	0.895642027467707
FOXN2	418	215	633	356	176	532	62	39	101	207	0.0142885574546336	0.188506757315554	ENSG00000170802	2854.80360084179	-0.140059177298742	0.303003179171072	-0.462236659304708	0.643911616821747	0.862267548001719
NR3C1	439	275	714	0	0	0	439	275	714	8	-0.0146864918738355	0.0969814279827436	ENSG00000113580	6326.97068027796	0.194934362912873	0.263565092747651	0.739606147690857	0.459539010292349	0.761878783363595
