TF	H3.1K27M_pons_score	H3.3K27M_pons_score	Foldchange	Log_foldchange	rank
NFE2L2	11063.0952	1	11063.0952	9.31137009125866	1
MZF1	5971.81	1	5971.81	8.69480534301566	2
ZBTB2	4982.77288	1	4982.77288	8.51374181827416	3
DLX1	4883.0232	1	4883.0232	8.49351981522793	4
HEY2	3990.8632	1	3990.8632	8.29176282733773	5
NKX6-1	3577.1612	1	3577.1612	8.1823248039411	6
HOXD8	2354.89024	1	2354.89024	7.76424939814568	7
ZNF713	1737.7168	1	1737.7168	7.46032734663337	8
HOXA1	1660.27888	1	1660.27888	7.41474086724017	9
PAX5	1146.13684	1	1146.13684	7.04415229677804	10
POU2F2	1084.88	1	1084.88	6.98922466077969	11
SOX2	28005.02122	25.867225	1082.64497718638	6.98716237902582	12
HOXB1	941.41792	1	941.41792	6.84738716426494	13
ZBTB17	895.12974	1	895.12974	6.7969686686629	14
TRERF1	882.63264	1	882.63264	6.78290907779678	15
LYL1	18909.9315	21.598375	875.52565875905	6.77482445884533	16
NKX2-6	769.1008	1	769.1008	6.6452220402393	17
FEZF2	755.02664	1	755.02664	6.62675303339474	18
ATF6	721.09164	1	721.09164	6.58076623045654	19
ZNF574	689.4541	1	689.4541	6.53590012503923	20
ZNF267	682.4913	1	682.4913	6.52574977972512	21
CEBPE	679.08028	1	679.08028	6.5207393532649	22
SIX2	641.917	1	641.917	6.46445901184303	23
ZBTB34	622.45914	1	622.45914	6.43367798763034	24
BCL6	13293.815	21.73645	611.590899157866	6.41606359356137	25
MEIS1	12507.0544	20.6099375	606.845818916239	6.40827475371441	26
MYOG	584.95204	1	584.95204	6.37152986096509	27
SIX1	572.15782	1	572.15782	6.34941486241479	28
ZNF708	554.90894	1	554.90894	6.31880402821307	29
HLX	550.99472	1	550.99472	6.31172522652987	30
ZNF397	548.7763	1	548.7763	6.30769089034798	31
MEF2B	534.70576	1	534.70576	6.2817166142924	32
ZNF212	526.31308	1	526.31308	6.26589624479649	33
STAT4	480.81998	1	480.81998	6.17549293809801	34
